R00260	147.129260	147.129260
R00262	147.129260	147.129260
R10153	147.129260	147.129260
R00291	566.301784	566.301784
R00307	180.155880	180.155880
R00363	132.071560	132.071560
R00401	89.093180	89.093180
R00418	607.353704	607.353704
R00420	607.353704	607.353704
R00460	146.187560	146.187560
R00461	146.187560	146.187560
R00491	133.102680	133.102680
R00505	566.301784	566.301784
R00567	174.200960	174.200960
R00579	146.144500	146.144500
R00589	105.092580	105.092580
R00647	176.124120	176.124120
R00655	149.211340	149.211340
R00661	168.041962	168.041962
R00672	132.160980	132.160980
R00739	181.188540	181.188540
R00771	260.135782	260.135782
R00772	260.135782	260.135782
R05339	260.135782	260.135782
R00810	342.296480	342.296480
R00833	867.606886	867.606886
R07324	260.135782	260.135782
R08639	260.135782	260.135782
R00877	180.155880	180.155880
R00878	180.155880	180.155880
R10817	180.155880	180.155880
R00889	605.341124	605.341124
R00903	121.158180	121.158180
R00959	260.135782	260.135782
R01015	170.057842	170.057842
R01056	230.109802	230.109802
R01081	150.129900	150.129900
R01087	116.072160	116.072160
R01091	131.172920	131.172920
R10619	180.155880	180.155880
R01123	246.092104	246.092104
R01181	837.623966	837.623966
R01207	221.207800	221.207800
R01255	115.130460	115.130460
R01324	192.123520	192.123520
R01378	164.158020	164.158020
R01385	580.285304	580.285304
R01387	580.285304	580.285304
R01394	104.061460	104.061460
R01432	150.129900	150.129900
R01445	342.296480	342.296480
R01450	90.077940	90.077940
R01467	119.119160	119.119160
R01473	536.275804	536.275804
R01482	194.139400	194.139400
R01518	186.057242	186.057242
R01529	230.109802	230.109802
R01530	230.109802	230.109802
R01557	342.296480	342.296480
R01577	150.129900	150.129900
R01602	180.155880	180.155880
R05850	230.109802	230.109802
R01662	266.037144	266.037144
R01715	226.182800	226.182800
R01717	226.182800	226.182800
R01761	150.129900	150.129900
R01819	260.135782	260.135782
R01898	150.129900	150.129900
R01906	150.129900	150.129900
R01983	194.139400	194.139400
R02007	314.209124	314.209124
R02060	259.151022	259.151022
R02068	450.443164	450.443164
R06298	450.443164	450.443164
R06312	450.443164	450.443164
R02087	301.187702	301.187702
R02126	284.435720	284.435720
R02244	174.108240	174.108240
R02265	352.465080	352.465080
R02266	352.465080	352.465080
R02267	352.465080	352.465080
R02268	352.465080	352.465080
R02272	131.129860	131.129860
R02310	382.326144	382.326144
R02318	192.123520	192.123520
R02369	286.451600	286.451600
R02437	164.156480	164.156480
R02438	164.156480	164.156480
R02446	272.252780	272.252780
R02461	132.160980	132.160980
R02546	150.086840	150.086840
R02615	120.148520	120.148520
R02644	272.425020	272.425020
R02728	260.135782	260.135782
R02735	190.197060	190.197060
R02739	260.135782	260.135782
R02740	260.135782	260.135782
R02765	867.606886	867.606886
R06514	546.313684	546.313684
R02852	146.187560	146.187560
R07322	410.718000	410.718000
R10818	180.155880	180.155880
R02898	224.254580	224.254580
R02949	88.105120	88.105120
R02962	195.172060	195.172060
R02984	564.328964	564.328964
R03031	835.608086	835.608086
R07319	342.296480	342.296480
R03052	132.114620	132.114620
R03070	144.125320	144.125320
R03073	500.458060	500.458060
R03128	148.070960	148.070960
R03163	164.156480	164.156480
R03181	200.145520	200.145520
R03199	426.717400	426.717400
R03200	426.717400	426.717400
R06466	426.717400	426.717400
R06469	426.717400	426.717400
R06471	426.717400	426.717400
R08376	426.717400	426.717400
R09476	426.717400	426.717400
R09910	426.717400	426.717400
R03228	292.456180	292.456180
R03240	260.135782	260.135782
R03244	230.109802	230.109802
R03265	222.366340	222.366340
R03275	146.187560	146.187560
R03276	853.623366	853.623366
R10555	310.089704	310.089704
R03296	131.129860	131.129860
R03307	186.118940	186.118940
R03308	186.118940	186.118940
R03319	260.135782	260.135782
R03321	260.135782	260.135782
R03342	180.157420	180.157420
R03353	386.653540	386.653540
R03402	292.413120	292.413120
R09720	206.150100	206.150100
R03509	349.230502	349.230502
R08099	152.233440	152.233440
R09708	154.249320	154.249320
R03627	280.445480	280.445480
R03673	193.156180	193.156180
R03775	426.717400	426.717400
R03782	150.217560	150.217560
R03791	152.147320	152.147320
R05383	109.125880	109.125880
R08434	289.369420	289.369420
R03823	536.872640	536.872640
R03824	536.872640	536.872640
R03868	186.118940	186.118940
R03881	565.317024	565.317024
